model,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_MOM_EQ,t_MOM_EQ
FF5+MOM_EQ,size_bm,3,1,11,0.016775987827419035,1.1223507081007698,0.2617133537806122,0.9009310740082892,0.752327685020723,1.1055394278026118,9.502094431534807,0.3332699099954841,1.0508042679290948,-0.7981167958320906,-1.9090992614055824,0.3467807698028837,1.9859020576225024,-0.23389681434995935,-0.374395021676702,0.004771997060791677,0.014803757568081928
FF5+MOM_EQ,size_bm,3,2,11,-0.016181461954008682,-1.0569189499118057,0.29054857916075616,0.9340564416889974,0.8351411042224934,0.9331583042045226,8.41613587380902,-0.13748028811758328,-2.663730945934863,-0.5093448175603384,-4.614799169832183,-0.048122837912725605,-0.4397031136873935,0.19658316780751406,0.6575306041888308,-0.4053976282919961,-3.058021665241486
FF5+MOM_EQ,size_bm,3,3,11,-0.0015355883044682675,-0.5050644459532536,0.6135135722131765,0.9132804083510093,0.7832010208775233,1.1429070339004823,26.616412664747337,-0.05665872506898753,-0.41592942204684374,0.12128013271411886,0.46602304301752123,-0.08473328456176733,-1.29026435696772,-0.020472360337623785,-0.07570759469506586,0.4680298797200071,2.313752432616727
FF5+MOM_EQ,size_bm,3,4,11,-0.03614331086111276,-2.4119147439226234,0.01586899177608894,0.9351618208095339,0.8379045520238348,0.8019893193992157,7.282938129616043,-0.23308522477852278,-3.792241717188743,-0.5205516158531284,-3.4992653717659654,-0.015600993263562176,-0.21749385594612272,-0.5025693776023625,-2.4900488961274543,-0.8198609760272088,-5.265759879389493
FF5+MOM_EQ,size_bm,3,5,11,-0.012567747940513796,-2.677136831809738,0.007425430311098066,0.9674149280743825,0.9185373201859561,0.8524122407649231,13.914190361717747,0.002774692635001186,0.03285405787548432,0.24125253999886764,2.1675090724643193,0.16994848916314145,4.314923141283732,0.11889804973336005,0.7589542952134796,-0.11314156928435204,-0.9675587642639742
FF5+MOM_EQ,size_bm,4,1,11,-0.005701305792459095,-0.4333687497691681,0.6647468996152466,0.9540635661543007,0.8851589153857516,0.9816757914960103,11.373179335465629,-0.12221616656847412,-1.9194463609186732,-0.9580019001789352,-7.172161450456883,0.2801153001873662,4.403955095863808,0.47063331131197494,2.014211304841894,-0.25677129845605434,-1.3910402102067216
FF5+MOM_EQ,size_bm,4,2,11,0.021509683187924025,32.05690727503954,1.758953680663125e-225,0.9990603846775753,0.9976509616939382,1.11224866121913,167.42350324789788,-0.4426508347596281,-19.307110174888464,-0.1889178277115509,-7.659296063719495,-0.1377680266552881,-11.454390823319779,-1.135362169307568,-32.03044041085758,0.033952804410800175,1.4875786239318711
FF5+MOM_EQ,size_bm,4,3,11,-0.02666118712646236,-9.537207197568094,1.4673048009362037e-21,0.9884296064758414,0.9710740161896037,0.8694413813492408,21.85098716268582,-0.6839535745947507,-15.444568083032927,-0.5230118124339014,-5.529876786161606,-0.26286046817666237,-10.700965860471221,-0.32541579694513,-3.037851631543754,-0.5108303836830781,-7.953070354060269
FF5+MOM_EQ,size_bm,4,4,11,0.009658474680208973,2.4634000576017905,0.01376262585076884,0.988333566289581,0.9708339157239525,1.169275838178356,29.611028656736753,-0.7667619741518718,-34.4918890237732,0.13502897874922376,2.730626790058838,-0.046553337073716755,-1.2728304227317704,-0.3093428054948902,-5.806594327268537,-0.17269284814242813,-1.3965896271926148
FF5+MOM_EQ,size_bm,4,5,11,-0.03206079734216279,-3.1060167788496678,0.0018962595548399287,0.9221666157248652,0.8054165393121631,0.6405357527580974,8.33224423413134,-0.5121582953161369,-6.076930154322597,0.24845736467571267,1.0377278264392658,-0.01043813643801754,-0.30418119395535115,-1.3826175329495491,-6.682762623479683,-0.44938120345218846,-1.8038612329160189
FF5+MOM_EQ,size_bm,5,1,11,-0.015061470037669264,-1.5031840060941675,0.13279160072034454,0.9609828029863526,0.9024570074658815,0.5143288002210632,8.26913077406796,-0.4877733841010489,-6.066276617529118,-0.991837856675798,-4.171514746165218,0.024966073498791125,0.47301375016231356,-0.10678983648835946,-0.40158937127216005,-0.19079910230937908,-0.8209674279866896
FF5+MOM_EQ,size_bm,5,2,11,-0.011042167870721792,-0.9208230820152681,0.35714280197649306,0.9574661198982233,0.8936652997455582,0.7193578533518402,7.644150151514334,-1.0456041491168246,-34.09729408085432,-0.28593806477180245,-2.8377342450179683,-0.08633581960862155,-1.12401010149298,-1.4665988049968706,-7.602849959887559,-0.052017284901185956,-0.5230257414519878
FF5+MOM_EQ,size_bm,5,3,11,-0.0025089658139656086,-0.6927330214346779,0.4884771120964698,0.8608445316705635,0.6521113291764088,0.7065531412354651,19.340762042981282,-0.5553682945049947,-4.091418238835153,-0.31349908527924086,-1.1250162864523945,-0.22698630822018218,-3.785667405573182,-0.2020051569113674,-0.749457757280285,-1.0232639630115614,-4.253521891393299
FF5+MOM_EQ,size_bm,5,4,11,0.015892397466744205,0.4507881242477772,0.6521422613125009,0.4524171189475078,-0.36895720263123044,0.6205403490617496,1.681793484969793,-0.4488500491097731,-1.0255802334364559,1.2014022699736582,1.9707179934167136,-0.11369429170274577,-0.6973036693634379,-2.2611795377958295,-4.6785205320268854,0.9406168932307287,1.4511059809906637
FF5+MOM_EQ,size_bm,5,5,11,-0.007507398562038922,-0.4140477742818811,0.6788391194254123,0.64363881879355,0.10909704698387501,0.5132405029682124,2.719038269107732,-0.5616446361666871,-1.612115963403604,-0.16855163807386842,-0.4352205402396828,-0.13308931931150006,-1.1046030827050919,-0.21876136788317996,-0.6227911347141099,-0.6984054553893989,-1.375031014037389
FF5+MOM_EQ,size_inv,1,1,11,-0.001460866149649985,-0.05363832818850843,0.9572233189733435,0.8245386188262801,0.5613465470657002,1.19738879620747,6.752573688066343,0.8201440906566048,8.377027863507026,0.8667744583686303,3.488688460707829,0.31281464552655247,1.7453931225411932,1.6378767803480148,2.7735577821908133,0.39967335262831405,2.1883890193715843
FF5+MOM_EQ,size_inv,1,2,11,0.02776790837420847,4.07177282794134,4.6656671643874505e-05,0.9648268785894611,0.9120671964736529,1.381084615581978,16.914094877024546,0.9048999854227022,5.7061459647714905,1.06955549069071,5.366071267325346,0.2953467211951126,5.0595814078230505,0.9127320418462634,4.014850860310663,0.6810679732172105,2.578141681163735
FF5+MOM_EQ,size_inv,1,3,11,0.01775207434921878,16.97286948804706,1.304014333719039e-64,0.9983610542481263,0.9959026356203157,1.3188758620636907,139.87316900956912,0.9392450342489509,44.76805785201756,0.9427142912113851,24.047104822635504,0.10404575070493502,8.20273984626691,1.2426176152762232,27.07333912454227,0.5682388431982108,23.799776467750682
FF5+MOM_EQ,size_inv,1,4,11,0.028979264503727196,1.3845707372077698,0.16618376446522787,0.9429691207262664,0.857422801815666,1.4513345245427525,7.791458312075312,1.0443960104466634,5.828461768251199,1.334979830083357,4.590724559813927,-0.05545208144377782,-0.6363315878520992,-0.1900561592435699,-0.8987131560460256,1.3425693270932306,4.349334085414876
FF5+MOM_EQ,size_inv,1,5,11,0.0038043871699518297,0.5245367474028575,0.59990526778987,0.9725314651957075,0.9313286629892689,1.2044075815297135,14.005493262283839,0.5582924800524798,5.082288734308133,0.5707086782328163,3.9519568769396267,0.29995388491680225,6.390479214223447,0.30920172359082687,2.433459968276312,0.5760635512686767,3.45453750146786
FF5+MOM_EQ,size_inv,2,1,11,0.01715088217416922,2.2279215938009735,0.025885743933043145,0.9800531954922241,0.9501329887305603,1.1411967943452674,20.635329329984494,0.4268024143923586,7.2385112494338175,0.4799786268295737,4.393898879823126,-0.20136203211256098,-3.241697124196414,0.35174573914141305,1.8177531138690934,0.27836650772944993,5.528062868106863
