model,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA
FF5_baseline,size_inv,3,2,11,-0.0015541329749117648,-0.08389581676829984,0.9331392655717131,0.8962380392726335,0.7924760785452669,0.94918437634226,6.635118958650874,-0.06205481848002864,-0.5265194312798033,-0.19083946729877732,-0.8507325123469422,0.18264229532682372,1.3768052883719888,0.1269353044965883,0.30976436904874705
FF5_baseline,size_inv,3,3,11,-0.04243224469216871,-4.0042338688117285,6.22187898016492e-05,0.9063100133174616,0.8126200266349233,0.7458294231261257,7.24807435525781,-0.0022111853692393657,-0.009235535036024346,-0.7562078362281285,-5.2335061378887735,0.19607494697375472,2.6099722350043533,1.2050693914566115,5.9270417820986285
FF5_baseline,size_inv,3,4,11,0.006297426822994794,1.3462030946235037,0.1782370273354288,0.9499904524766255,0.899980904953251,1.1837365278678458,28.420674501335604,0.1274248808186071,1.1972562924037702,0.09422197241104774,1.01762479323682,0.03807221239251085,0.7090954657419919,-0.36408844670340046,-2.9466593718039116
FF5_baseline,size_inv,3,5,11,0.001855148068576889,0.1731304108433216,0.8625489214861575,0.9196109703070157,0.8392219406140313,1.0957830997380116,18.587691050874042,-0.365853644020218,-4.86031054480011,0.39906979885499355,2.83315337320911,-0.03196928491007878,-0.3293394010918218,-1.143706803017278,-3.9159318738010356
FF5_baseline,size_inv,4,1,11,0.0037014278760014547,0.23144905789295236,0.8169659569013679,0.8748433933923427,0.7496867867846855,1.1667672533246898,9.077132261297098,-1.0882670748497671,-6.925049966452097,-0.013991281712711884,-0.07162695040997581,-0.1700258670943675,-1.2971746290580202,0.5330908223167132,1.7412914679214446
FF5_baseline,size_inv,4,2,11,-0.022260094645423837,-7.603073209204215,2.89179786980348e-14,0.9898468927026798,0.9796937854053596,0.8962213814787979,24.422596307638024,-0.5327517342626964,-8.241829766486694,-0.3067908260746287,-8.723097594434947,-0.13345566922291713,-6.132465354283456,-0.14446030805659493,-1.079197126038015
FF5_baseline,size_inv,4,3,11,-0.009714114476356443,-0.4773836540176991,0.6330889517853291,0.8958042136586672,0.7916084273173345,0.9459424148200855,8.375857024249951,-0.6096058532548191,-2.8287432495850693,-0.5842916788932503,-2.6448898675120445,0.07656638045953522,0.4922758628826055,-0.8996646190949809,-1.5090209723982078
FF5_baseline,size_inv,4,4,11,-0.002569527104904104,-0.20504935779371203,0.8375335622757262,0.8619900092990234,0.7239800185980467,0.8582076210028318,9.92082567962879,-0.7215392199459773,-7.43529644821429,-0.16923608287204434,-1.0191856636652867,0.11651693133991073,1.0834876217653815,-1.0675626401115164,-4.458442300438065
FF5_baseline,size_inv,4,5,11,0.00019975982886467295,0.034255053173893706,0.9726737661874876,0.9648401478732948,0.9296802957465895,1.119598707850804,26.46987031288865,-0.22802655562049573,-1.1755023290789435,-0.1328527061028906,-1.3051524142086837,-0.12472651822025989,-2.1521296189093246,-0.26147810005981964,-0.938828504037339
FF5_baseline,size_inv,5,1,11,0.007480225591609706,0.7195788313079109,0.4717843494977414,0.8949993856451605,0.7899987712903209,0.9387805930289183,9.546565187878782,-0.7086102668030592,-2.0013285667596272,-0.3828339148560732,-2.126154673078282,0.6612141756802536,6.105601037063711,0.7494255596686342,1.3456610636863715
FF5_baseline,size_inv,5,2,11,0.016737397174453748,1.9666218166728746,0.049226826388614524,0.8656379790235486,0.7312759580470971,0.7266154654845813,7.0279716903048985,-1.0160393482929726,-4.09129689960586,0.176541796373703,1.1045839609022075,-0.25342574153385466,-5.270425242409301,-0.08555971522327,-0.2689825645324596
