period,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,p_MKT_RF,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_MOM_24M,t_MOM_24M,p_MOM_24M
period2,size_inv,2,2,24,-0.019012907579941077,-3.239075431379337,0.0011991785435171581,0.9470518076827721,0.9359048198265136,0.9295984987593761,12.385929125072293,3.114567219241315e-35,0.16376133574914176,1.5181607133469843,0.12897388874066043,-0.4646649654529116,-2.032559228282851,0.042097074211052965,-0.5326080174752253,-2.1456639008316185,0.03189980324655424
period2,size_inv,2,3,24,-0.0036567930005827233,-0.5223968551720878,0.6013940451673997,0.9601323829455273,0.9517392004077435,1.0009010445131594,15.3578911606586,3.1361094704892463e-53,0.05925134683997263,0.48057273959728936,0.6308201939154481,0.08514596584387624,0.5276235850749746,0.5977606199764612,-0.1242979335263289,-0.8545435377264358,0.39280389685246453
period2,size_inv,2,4,24,-0.006644553729421795,-0.9618436264833302,0.33612815974669674,0.9653191630100411,0.9580179341700497,0.966720556902533,18.300204780341165,8.243844916939478e-75,0.017920930531936885,0.2847851895458264,0.7758087196220378,0.1628688191455202,0.8279705944990139,0.40768715323128224,0.2159245364295045,1.6858512031658415,0.09182446266996544
period2,size_inv,2,5,24,-0.01038051327844539,-1.676494053330698,0.09364146004813241,0.9453029542898841,0.933787786771965,0.9883707922457494,15.59760733625312,7.55738275764988e-55,0.4218270196902117,2.5987280174371827,0.009356987839873826,-0.1738515302899719,-0.9001536822540399,0.3680384711876553,-0.19142570944645942,-1.3176359099999262,0.1876255584714982
period2,size_inv,3,1,24,-0.0006622925871855832,-0.08476227130408279,0.9324503886916079,0.9113638198162443,0.8927035713565062,1.0635705862782705,13.219203701058003,6.797980779425346e-40,0.1999733959082151,0.7637552041810737,0.4450131363495954,-0.19316949958253937,-0.7538907606379778,0.450914818962478,-0.2049611080745744,-0.865811641343803,0.38659346413506246
period2,size_inv,3,2,24,0.004780947694449391,0.8458001294459265,0.3976642532504727,0.9476286723174129,0.9366031296473946,0.9382008216441577,15.81237003227135,2.5566505134605394e-56,0.02938243827384658,0.35223959660424364,0.7246585836122164,-0.03976812579215239,-0.22912043373609928,0.8187753120383239,-0.2792404815022201,-1.6470919427627762,0.09953914899462017
period2,size_inv,3,3,24,-0.008394793952095215,-1.650292479003204,0.09888312981387176,0.9396584741355418,0.9269549950061822,0.9822099108425644,12.312052378662218,7.801374143050539e-35,0.1186972428600504,1.0000680655905712,0.31727756922341555,-0.18742630357165702,-1.0050005715581827,0.31489657464303145,0.060519908603630324,0.24316233667759107,0.8078796422897239
period2,size_inv,3,4,24,-0.0010408364401364133,-0.21383539493409026,0.8306754221225994,0.9668796645968712,0.9599069624067389,1.2106087612906329,27.438781149871303,9.456453010198522e-166,0.4174522429592471,7.459512173906797,8.68434055597979e-14,0.06601014165514518,0.4189555938260223,0.6752485861006035,0.11807060327262808,0.5594161336728459,0.5758777530934995
period2,size_inv,3,5,24,0.009123769624948454,1.6218453508682495,0.10483646527335144,0.9171917793668799,0.8997584697599073,0.9537947006761506,12.56960562428394,3.1026773959839345e-36,-0.23253940706324805,-2.413813625969768,0.015786535086563656,0.1888554483212952,1.0934848617299842,0.2741809720519752,0.09136033368150254,0.3507496222054402,0.72577619450317
period2,size_inv,4,1,24,0.009762905461003134,0.8481333349923634,0.3963637187247717,0.9037222273050314,0.8834532225271432,1.0868239776664437,8.904678222406822,5.354112663867793e-19,-0.1966143933214653,-0.5364912659982702,0.5916190705692222,-0.09595462074283423,-0.34128054311468947,0.7328923939512497,0.18270326370174383,0.4465488173467971,0.6552008577802176
period2,size_inv,4,2,24,-0.007035664039332515,-1.3403200016347536,0.18014133146605527,0.9564058443777002,0.9472281274045844,0.8796396155857371,10.882740536715975,1.3931048660152144e-27,-0.4484345050695326,-5.330134885247897,9.813984876218261e-08,-0.4110405425746887,-2.435015847555449,0.014891137503710968,-0.721900939069688,-3.288313549052052,0.0010078952001484455
period2,size_inv,4,3,24,0.017374454263424245,1.055405601086554,0.29123986231992227,0.8181684884611944,0.7798881702424985,0.9418516645845442,8.376677272907472,5.4442867088839285e-17,-0.30083778736082045,-1.4036988414575442,0.16040854760483347,0.14898651668069474,0.3537204142813936,0.7235484220624949,0.34141876406436567,0.9700232455082266,0.33203490541079816
period2,size_inv,4,4,24,0.002068703247546152,0.29420113815639437,0.7686042109888302,0.943673086126395,0.931814788468794,0.8747312497488303,17.13380656313979,8.303937238909702e-66,-0.5268672485283122,-3.3461669687040776,0.0008193704027624651,-0.2573849792023903,-1.6660925341677248,0.09569498532412204,-0.028439592315223167,-0.1495701310939092,0.8811037749804242
period2,size_inv,4,5,24,0.003378466086192397,0.4524619969493079,0.6509361928301045,0.9382871943341621,0.9252950247203015,1.0948671336928242,12.559276436051386,3.535511159127417e-36,-0.41165609516065543,-1.6848591861851085,0.09201574258549103,0.3430292272839917,1.4629224457482621,0.1434886013776907,0.6039483109430305,2.4063334920670187,0.01611354763670314
period2,size_inv,5,1,24,-0.04002530346352788,-1.3967256160446664,0.16249609801296294,0.87800282871414,0.8523192137065906,0.8587419556846886,5.12700466788372,2.943882206541163e-07,-0.27112253604376196,-1.2082944416733417,0.22693402571401622,-1.842747393965528,-2.0980378869441654,0.035901798676276644,-0.8577680999604733,-1.0670920523852836,0.2859302703431388
period2,size_inv,5,2,24,0.00300455900703411,0.488389315081442,0.6252741087281293,0.8630555629391334,0.8342251551368458,0.6230451405599668,7.505612888720177,6.114185368663254e-14,-0.8807181384227395,-3.199955446258207,0.0013744883310766285,-0.1840636594667111,-1.5943942794974386,0.1108477528875373,-0.08426962451958975,-0.445739915417274,0.6557851281940706
period2,size_inv,5,3,24,-0.009797967144290595,-1.1101955241140318,0.2669147810959427,0.9267081885433998,0.911278333499905,0.8261434147286641,6.521176573773372,6.97580045469791e-11,-0.4822696445308948,-1.9766159633751565,0.04808505634098514,-0.5225929046862152,-2.179775888570763,0.029274078054186914,0.09601418749491453,0.33476056351886013,0.7378057114617829
