model,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_MOM_8M,t_MOM_8M
FF5+MOM_8M,size_bm,5,3,11,0.014006041906997353,1.1483969166833912,0.2508047459739283,0.8155886106312571,0.5389715265781427,0.8526997193272329,7.820695737141084,-0.6520211872971737,-6.075735338695839,0.30534989637791743,2.971329951386878,-0.21026794347361907,-2.3794468889526152,-0.4623852175241854,-1.5129599914976757,-0.22510226406888584,-0.5502650936480991
FF5+MOM_8M,size_bm,5,4,11,-0.024653692658770696,-1.587677481780849,0.11235928752362963,0.47404302785422114,-0.31489243036444714,0.24371082814275352,2.076297857463599,-0.450125020003155,-0.9652650606689002,0.09368277208557277,0.2877339812059829,-0.16016290214479023,-1.167219779453092,-1.1202120173173533,-1.0488875800152389,-0.8787906744689948,-1.3784743123547394
FF5+MOM_8M,size_bm,5,5,11,0.013661158637751433,1.4473465448650131,0.14779988915471318,0.6203018188727758,0.0507545471819395,0.7076003123269733,8.455059333610567,-0.5924503169305086,-1.4691089693268027,0.46407345976629966,2.0985463719987867,-0.10954411867071455,-1.0401699504617639,-0.7482608718467986,-1.0825353605516044,0.2699723387451536,0.9749205010390833
FF5+MOM_8M,size_inv,1,1,11,0.013296801828375587,0.7557551257636518,0.4497960260725853,0.8689413530135713,0.6723533825339283,1.343054562438358,8.59939866265032,0.9332479240283624,5.5916220792309845,1.0756078032023486,3.5377810312483637,0.3322885370987509,2.23383142739664,0.9857151301028507,3.0150536403697843,0.9957096874440423,2.446103609458589
FF5+MOM_8M,size_inv,1,2,11,0.014588629615846102,1.6317826306839236,0.10272528562870106,0.9527032632445579,0.8817581581113947,1.262902786198267,18.628426951057243,0.9614596532421731,4.855720854529824,0.6111956192379289,4.679468868268197,0.281537526208794,5.714539227024215,1.1637810062547014,2.6397161749106495,0.05620627831829461,0.26285670222105717
FF5+MOM_8M,size_inv,1,3,11,0.011235198362441856,4.157688780316027,3.21483583713549e-05,0.9919673484382547,0.9799183710956368,1.263092032172226,50.606604317565875,1.0023487761565164,37.25840647610874,0.6554417754951812,11.919577201580333,0.09801612890174267,3.062084481512251,1.2928649089053454,11.630298677298864,0.23861463495856294,1.636359017629415
FF5+MOM_8M,size_inv,1,4,11,-0.0009828768884364986,-0.08620817078617639,0.9313009355431063,0.9083152399708403,0.7707880999271007,1.180296509237155,11.996750545641298,1.1417416661593918,4.844481196174564,0.34683020617183546,1.2368679895541876,-0.0875564264703554,-0.8429482038549768,0.4463803080611144,0.7791219189742101,-0.05965536166396346,-0.11626434410557537
FF5+MOM_8M,size_inv,1,5,11,0.002739168254023941,0.8754080904870803,0.3813518992368843,0.9744687523970031,0.9361718809925079,1.2008308655433193,21.726716562746436,0.6419536704808557,7.55412524791453,0.39720187211626734,9.883389479985052,0.3006356634279614,7.008123879468008,0.1631676523979857,1.2427664263900802,0.479092026188759,5.007710878464995
FF5+MOM_8M,size_inv,2,1,11,0.008021930165241269,2.10054522371174,0.0356809067760243,0.978558219597902,0.9463955489947551,1.0571172896966954,27.433192975263854,0.4366231400441855,7.154338037662084,0.21313583077226428,2.1399554919064454,-0.21159466391964663,-3.1820124232878713,0.5873779686206487,7.243417818590503,-0.13721163663230973,-0.6509441255176636
FF5+MOM_8M,size_inv,2,2,11,-0.009091325715715064,-0.8389729334508977,0.4014844984008238,0.9412037428240814,0.8530093570602034,1.0297211909776411,9.508777531537257,0.3286635867602924,4.018006771498081,-0.22067219966407825,-0.89663219045263,-0.3267473347512296,-3.162757969997634,0.4837332713401542,2.4235522907335985,-0.7520466008444054,-1.979889793762768
FF5+MOM_8M,size_inv,2,3,11,0.016966488342914476,4.9642564962044196,6.896475140865235e-07,0.9809727068252844,0.952431767063211,1.1644868758227909,21.656156109897974,-0.28924944012960024,-6.514740233206425,0.4063857791145279,4.767167227357523,0.1468037495635099,4.730318721343916,-0.11291500796705645,-1.9202369255762701,-0.6363007240463363,-6.618082027634843
FF5+MOM_8M,size_inv,2,4,11,-0.011313549683047507,-0.9807699007288506,0.32670622441321284,0.8685005103956555,0.6712512759891387,0.8965751854544389,5.294374257023407,0.37491882266802634,3.435394564544792,-0.13937087175062168,-0.45695786109454334,-0.14317899666484296,-1.2032641062010647,-1.3725700207422022,-6.512869465285223,0.26816498101875375,0.6543563848388073
