period,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,p_MKT_RF,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_MOM_EQ,t_MOM_EQ,p_MOM_EQ
period2,size_op,2,2,5,,,,,,,,,,,,,,,,,
period2,size_op,2,3,7,,,,,,,,,,,,,,,,,
period2,size_op,2,4,4,,,,,,,,,,,,,,,,,
period2,size_op,2,5,0,,,,,,,,,,,,,,,,,
period2,size_op,3,1,6,,,,,,,,,,,,,,,,,
period2,size_op,3,2,16,-0.028441599197033943,-1.4992325162510785,0.1338133222967318,0.801604260188753,0.729460354802845,0.7364633978767745,4.850479678906193,1.2316325245039181e-06,-0.2973280801294431,-1.0149568994246683,0.31012637326023185,-0.3022543846961476,-0.4759642052742476,0.6340998792105113,1.2920367257875012,1.5437827183964612,0.12264097927119877
period2,size_op,3,3,9,-0.011177831030705083,-0.41010155672131327,0.6817314508095912,0.7954626261090902,0.5909252522181805,1.4559977750969784,4.954670860697325,7.245282685699371e-07,1.0011099399750274,1.1543591675574962,0.24835294828760257,-1.331973047553246,-1.6688393002291122,0.09514923180942568,-2.824786804920635,-1.9805738587364048,0.04763908293277747
period2,size_op,3,4,10,0.03830574516672722,1.2667417719380403,0.20524763852238592,0.6989196607332686,0.45805538931988343,0.7442808347335885,6.264237567021814,3.746539343616506e-10,-0.824371083870402,-0.8451003242343748,0.39805482731829356,1.9124410686917115,1.5277802979082686,0.12656709555517975,1.8449894958913866,1.541744808019814,0.12313561871872548
period2,size_op,3,5,1,,,,,,,,,,,,,,,,,
period2,size_op,4,1,6,,,,,,,,,,,,,,,,,
period2,size_op,4,2,5,,,,,,,,,,,,,,,,,
period2,size_op,4,3,15,-0.012878860045845854,-0.47273312383203486,0.6364035915340971,0.7827173835925791,0.6958043370296108,0.9038927114847553,2.426245618189926,0.015255941325775227,-1.7942385857562186,-5.299175446121946,1.163268148332514e-07,-0.49751819885943815,-0.703816635936874,0.48154697217932896,-2.202065506402751,-3.2624012744023365,0.0011047264483577826
period2,size_op,4,4,13,-0.015904412909042105,-0.5728824202321474,0.5667243083645632,0.8532912506812833,0.779936876021925,1.527626848563481,6.025887278718116,1.6818437365701404e-09,-0.41789978006725487,-1.1483517250473678,0.2508233939735782,1.3949009476293677,1.5955809671375922,0.11058237967404445,1.7704214791378787,3.168804933402565,0.0015306708860282426
period2,size_op,4,5,6,,,,,,,,,,,,,,,,,
period2,size_op,5,1,11,0.05833833838896761,1.3950806520721604,0.16299151991961702,0.6399634554703152,0.3999390924505253,1.7687219816585489,2.0374000252222473,0.041609971348884965,-2.20196680656137,-3.128937102397805,0.001754398579807158,1.831275050801695,1.6093667022243412,0.10753618173486171,1.5204971191548118,0.8230639943922513,0.41047160272487215
period2,size_op,5,2,7,,,,,,,,,,,,,,,,,
period2,size_op,5,3,7,,,,,,,,,,,,,,,,,
period2,size_op,5,4,3,,,,,,,,,,,,,,,,,
period2,size_op,5,5,15,-0.04238045447139641,-1.9579081761910537,0.050240788335176916,0.7250257760257592,0.6150360864360629,0.6249260895201295,3.345831974676438,0.0008203609132413389,0.017612843113182335,0.10662759608005226,0.9150844248813331,-0.6745002219038737,-1.0864453473200912,0.27728200809462444,0.3295974691637828,0.4326472647187844,0.6652710466891747
